source_plot_id,plot_code,let_out_id,let_out_name,letout_b_area_id,tenancy_id,tenancy_area_sqm,consumed_fsi,built_up_area_rec,built_up_area_commercial,is_active,status,from_date,to_date,update_timestamp
3225,102030003,633,5,570,10203104,11.6100,1.3100,0.0000,15.2100,True,,2004-04-01,,2022-10-21 00:00:00
3225,102030003,633,5,569,10203104,11.6100,0.0000,0.0000,0.0000,True,,1873-01-01,2004-03-31,2022-10-21 00:00:00
3226,102030004,634,6,572,10203105,11.1500,1.0000,0.0000,11.1500,True,,2004-04-01,,2022-10-21 00:00:00
3226,102030004,634,6,571,10203105,11.1500,0.0000,0.0000,0.0000,True,,1873-01-01,2004-03-31,2022-10-21 00:00:00
3230,102030008,638,12,580,10203111,16.4400,1.4700,0.0000,24.1700,True,,2004-04-01,,2022-10-21 00:00:00
3230,102030008,638,12,579,10203111,16.4400,0.0000,0.0000,0.0000,True,,1873-01-01,2004-03-31,2022-10-21 00:00:00
3231,102030009,639,13,605,10203126,18.9700,1.4500,0.0000,27.5100,True,,2004-04-01,,2022-10-21 00:00:00
3231,102030009,639,13,604,10203126,18.9700,0.0000,0.0000,0.0000,True,,1873-01-01,2004-03-31,2022-10-21 00:00:00
3231,102030009,5974,CDAC NNN,4458,,1300.0000,300.0000,700.0000,600.0000,True,,2024-12-26,,2024-12-26 12:04:15.405000
3235,102030013,643,2 AND 3,566,10203102,22.3000,0.0300,0.0000,0.6700,True,,2004-04-01,,2022-10-21 00:00:00
3235,102030013,643,2 AND 3,565,10203102,22.3000,0.0000,0.0000,0.0000,True,,1873-01-01,2004-03-31,2022-10-21 00:00:00
3250,103010003,657,26(NORTH OF GDN.C-19),866,10301540,23.4200,0.4500,0.0000,10.5400,True,,2004-04-01,,2022-10-21 00:00:00
3250,103010003,657,26(NORTH OF GDN.C-19),865,10301540,23.4200,0.0000,0.0000,0.0000,True,,1873-01-01,2004-03-31,2022-10-21 00:00:00
3255,103010008,662,6 (NORTH OG GDN.  NO C-42 ),857,10301535,5.9500,1.0000,0.0000,5.9500,True,,2004-04-01,,2022-10-21 00:00:00
3255,103010008,662,6 (NORTH OG GDN.  NO C-42 ),856,10301535,5.9500,0.0000,0.0000,0.0000,True,,1873-01-01,2004-03-31,2022-10-21 00:00:00
3264,103010017,4186,EAST PORTION OF SHED TW-2,934,10301627,5645.6300,1.0000,0.0000,5645.6300,True,,2004-04-01,,2022-10-21 00:00:00
3264,103010017,4186,EAST PORTION OF SHED TW-2,933,10301627,5645.6300,0.0000,0.0000,0.0000,True,,1873-01-01,2004-03-31,2022-10-21 00:00:00
3288,103010041,769,JETHA F 105,849,10301530,227.4300,1.0900,0.0000,247.9000,True,,2004-04-01,,2022-10-21 00:00:00
3288,103010041,769,JETHA F 105,848,10301530,227.4300,0.0000,0.0000,0.0000,True,,1873-01-01,2004-03-31,2022-10-21 00:00:00
3289,103010042,770,"JETHA F 73,79,80,& 86 TO 104",612,10301102,9529.7600,0.5200,0.0000,4955.4800,True,,2004-04-01,,2022-10-21 00:00:00
3289,103010042,770,"JETHA F 73,79,80,& 86 TO 104",611,10301102,9529.7600,0.0000,0.0000,0.0000,True,,1873-01-01,2004-03-31,2022-10-21 00:00:00
3290,103010043,771,JETHA PLINTHS A F G&B BLOCK,610,10301101,18911.3400,0.6800,0.0000,12859.7100,True,,2004-04-01,,2022-10-21 00:00:00
3290,103010043,771,JETHA PLINTHS A F G&B BLOCK,609,10301101,18911.3400,0.0000,0.0000,0.0000,True,,1873-01-01,2004-03-31,2022-10-21 00:00:00
3291,103010044,772,"LEASE JETHAS G 125,126,128&129",929,10301624,1564.2000,2.2100,0.0000,3456.8800,True,,2004-04-01,,2022-10-21 00:00:00
3291,103010044,772,"LEASE JETHAS G 125,126,128&129",928,10301624,1564.2000,0.0000,0.0000,0.0000,True,,1873-01-01,2004-03-31,2022-10-21 00:00:00
3297,103010048,776,OLD ARP B 10,829,10301514,316.0000,0.0000,0.0000,0.0000,True,,1873-01-01,,2022-10-21 00:00:00
3303,103010054,782,OLD R R NO.1015,792,10301431,32.9800,1.0000,0.0000,32.9800,True,,2004-12-01,,2022-10-21 00:00:00
