source_plot_id,plot_code,rr_no,street_no,main_structure_name,location,city_survey_no,city_survey_div,plot_area_sqm,plot_desc,plot_status,plot_active,is_vacant,owner,owner_name,owner_contactno,dept_name,estate_id,div_id,plot_unit_id,ward_id,zone_id,zone_detail_id,plot_customer_code,mcgm_allotted_no,mcgm_plot_no,existing_plot_no,reservation,rrzone2017,mbpt_road_connectivity,schedule_east,schedule_west,schedule_north,schedule_south,pincode,plot_remarks,let_out_id,let_out_name,letout_status,letout_recorded_area_sqm,letout_land_area_sqm,letout_billable_area_sqm,letout_dept_id,letout_from_date,letout_to_date,existing_tenancy_id,existing_tenancy_unit_id,tenancy_mapping_active,tenancy_allotted,existing_tenant_name,existing_current_rent,existing_commercial_rent,existing_g_sec_rate,existing_lease_years,existing_agreement_start_date,existing_agreement_end_date,existing_lac_approval_date,existing_chairman_approval_date,existing_board_approval_date,existing_tamps_approval_date,existing_upfront_premium_flag,existing_upfront_premium_amount,tenancy_area_sqm,tenancy_consumed_fsi,tenancy_recorded_built_up_area_sqm,tenancy_commercial_built_up_area_sqm,tenancy_area_active,tenancy_area_from_date,tenancy_area_to_date,recorded_planning_fsi,recorded_additional_fsi,recorded_fsi_addition,recorded_planning_built_up_area_sqm,crz_applicable,re_develop_applicable,application_tenancy_id,application_status,application_allotted,existing_application_purpose,existing_allotment_basis,existing_application_lease_start_date,existing_application_lease_end_date,existing_tender_number,existing_tender_id,existing_tender_description,existing_application_rate,existing_rate_revision_percent,existing_rate_revision_amount,existing_application_upfront_premium,existing_security_deposit,existing_application_agreement_date,existing_sor_applicable_date,recorded_rr_land_value,rr_land_value_from_date,rr_land_value_to_date,recorded_sor_market_value,sor_market_value_from_date,sor_market_value_to_date,zone_home_rate,zone_non_home_rate,zone_annual_increment,zone_rate_from_date,zone_rate_to_date
7979,101010054,STALL NO 4, , , ,358 (part),DADAR NAIGAUM,3.72,,A,False,True,True, , , ,1,56,1,,,,10101244, , , ,,,False, , , , ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8194,101010057,OLD R.R.1823, , , ,2/358,DADAR NAIGAUM,38865.53,,A,False,True,True, , , ,1,56,1,,,,10101146, , , ,,,False, , , , ,, ,4700,OLD R.R.1823,A,,,38865.5300,4,,,10101146,1,False,True,,,,,,,,,,,,False,,38865.5300,0.0000,0.0000,23707.9700,True,2004-04-01,,,,,,,,10101146,APPROVED,False,,Other,1873-01-01,,0,,,0,0.00,0.00,0,0,,,,,,,,,,,,,
8195,101010058,OLD RR 2023, , , ,8A/358,DADAR NAIGAUM,5575.48,,A,False,True,True, , , ,1,56,1,,,,10101201, , , ,,,False, , , , ,, ,5562,2023,A,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8187,101030002,P.T.LAND S.NO.83 AT AMBAPADA, , , ,C S No 362,TROMBAY,23500.00,,SIP,False,True,True, , , ,3,56,1,,,,10103126, , , ,,,False, , , , ,, ,5500,DVFV1235,SIP,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3099,101040001,LEASE OF P.T.LAND,,,PIR PAU PIER, , ,3609.09,,A,False,True,True,,,4,4,56,1,9,,,10104103,,,,,,False,,,,,400074,,5581,Test,A,,,50000,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8396,101040001,"Triangular Plot at PirPau (Near Old Pir Pau Berth)
",,,PIR PAU PIER, , ,11904.33,,A,False,True,True,,,4,4,56,1,9,,,10104106,,,,,,False,,,,,400074,,6069,LEASE OF P.T.LAND,A,123,,11904.33,4,,,10104106,1,True,True,,,,,,,,,,,,False,,11904.3300,0.0000,0.0000,0.0000,True,2024-06-26,,,,,,,,10104106,APPROVED,True,,Other,2008-06-01,,0,,,0,0.00,0.00,0,0,,,,,,,,,,,,,
8189,101040003,LEASE OF LAND, , , ,C S No 476 part),TROMBAY,7150.23,,A,False,True,True, , , ,4,56,1,,,,10104102, , , ,,,False, , , , ,, ,5501,asmita land,A,,,,4,,,12345678,1,True,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3101,101050001,1,,PRIVATE STRUCTURE,SEWREE (EAST),145,PAREL-SEWERI,2457.10,,A,False,True,True,,,,5,56,1,7,,,10105116,,,,,,True,SEWREE FORT ROAD,RR – 1984,SEWREE KOLIWADA ROAD,MbPT ROAD,400015,,4174,1,A,,,2457.1000,4,,,10105116,1,False,True,,,,,,,,,,,,False,,2457.1000,0.0000,0.0000,0.0000,True,1873-01-01,,,,,,,,10105116,APPROVED,False,,Other,1983-07-01,,0,,,0,0.00,0.00,0,0,,,,,,,,,,,,,
3102,101050002,6,,PRIVATE STRUCTURE,SEWREE (EAST),260/145,PAREL-SEWERI,1326.66,,A,False,True,True,,,,5,56,1,7,,,10105109,,,,,,True,PLOT : 5,MbPT ROAD,PLOT : 36,SEWREE BUNDER ROAD,400015,,495,6,A,,,1326.6600,4,,,10105109,1,True,True,,,,,,,,,,,,False,,1326.6600,2.7100,0.0000,3595.2500,True,2004-04-01,,,,,,,,10105109,APPROVED,True,"Petrol & oil, diesel pumps, service station, weigh bridge & other purposes connected with motor trade",Other,1965-03-05,,0,,,0,0.00,0.00,0,0,,,,,,,,,,,,,
3104,101050004,9,,PRIVATE STRUCTURE,SEWREE (EAST),277/145,PAREL-SEWERI,242.48,,A,False,True,True,,,,5,56,1,7,,,10105129,,,,,,False,RAILWAY SIDING,RAILWAY SIDING,PLOT : 10,PLOT : 8,400015,,4175,9,A,,,242.4800,4,,,10105129,1,False,True,,,,,,,,,,,,False,,242.4800,0.6300,0.0000,152.7600,True,2004-11-01,,,,,,,,10105129,APPROVED,False,,Other,1970-02-01,,0,,,0,0.00,0.00,0,0,,,,,,,,,,,,,
3107,101050007,31,,PRIVATE STRUCTURE,SEWREE (EAST),145,PAREL-SEWERI,1515.81,,A,False,True,True,,,,5,56,1,7,,,10105203,,,,,,True,CUSTOM PREVENTIVE QUARTERS,SEWREE FORT ROAD,MbPT QUARTERS,OFFICE MbPT REV.,400015,,499,31,A,,,1515.8100,4,,,10105203,1,True,True,,,,,,,,,,,,False,,1515.8100,0.5800,224.1800,650.1900,True,2006-06-01,,,,,,,,10105203,APPROVED,True,,Other,1994-04-01,,0,,,0,0.00,0.00,0,0,,,,,,,,,,,,,
3108,101050008,36,,PRIVATE STRUCTURE,SEWREE (EAST),145,PAREL-SEWERI,543.48,,A,False,True,True,,,,5,56,1,7,,,10105113,,,,,,True,RR – 1980,MbPT ROAD,MbPT ROAD,PLOT : 6,400015,,5001,36,A,,,,4,,,10105113,1,True,True,,,,,,,,,,,,False,11.00,,,,,,,,,,,,,,10105113,APPROVED,True,,Other,2003-10-01,,0,,,0,0.00,0.00,0,0,,,,,,,,,,,,,
3119,101050017,OLD RR 1858,,MBPT STRUCTURE,SEWREE (EAST),281/45,PAREL-SEWERI,1957.74,,A,False,True,True,,,,5,56,1,7,,,10105205,,,,,,False,OPEN LAND,OPEN LAND & STALL SITE NO. 1,MbPT LAND,OPEN LAND,400015,,4176,OLD RR 1858,A,,,1957.7400,4,,,10105205,1,False,True,,,,,,,,,,,,False,,1957.7400,0.6300,0.0000,1233.3800,True,2004-04-01,,,,,,,,10105205,APPROVED,False,,Other,1970-11-01,,0,,,0,0.00,0.00,0,0,,,,,,,,,,,,,
3128,101050026,LEASE OF PLOT,,PRIVATE STRUCTURE,SEWREE (EAST),145,PAREL-SEWERI,379.69,,A,False,True,True,,,,5,56,1,7,,,10105150,,,,,,True,LAND WITH MbPT SISTER DEPT.,SEWREE FORT ROAD,PLOT : 7,PLOT : 28 (FML),400015,,517,LEASE OF PLOT,A,,,379.6900,4,,,10105150,1,True,True,,,,,,,,,,,,False,,379.6900,1.0000,0.0000,379.6900,True,2004-04-01,,,,,,,,10105150,APPROVED,True,"Petrol & oil, diesel pumps, service station, weigh bridge & other purposes connected with motor trade",Other,1957-02-08,,0,,,0,0.00,0.00,0,0,,,,,,,,,,,,,
