source_plot_id,plot_code,let_out_id,let_out_name,letout_status,tenancy_mapping_id,tenancy_id,unit_id,company_name,is_active,is_alloted,current_rent,current_rent_commercial,home_rate,non_home_rate,g_secrate,long_lease_years,agreement_start_date,agreement_end_date,lac_approval_date,chairman_approval_date,board_approval_date,tamps_approval_date,commencement_date,termination_date,is_upfront_premimum,upfront_premimum_amount,is_service_charge_applicable,percent_rate_revision,amount_rate_revision,update_timestamp
3102,101050002,495,6,A,4705,20701104,7,,True,True,,,,,,,,,,,,,,,False,,True,,,2024-03-01 17:36:40.195000
3104,101050004,4175,9,A,344,10105129,1,,False,True,,,,,,,,,,,,,,,False,,True,4.00,,2022-11-14 11:47:41.757000
3107,101050007,499,31,A,242,10105203,1,,True,True,,,,,,,,,,,,,,,False,,True,4.00,,2025-10-01 10:01:21.617000
3107,101050007,499,31,A,4711,20701110,7,,True,True,,,,,,,,,,,,,,,False,,True,,,2024-03-01 17:36:40.195000
3108,101050008,500,36,A,364,10105113,1,,True,True,,,,,,,,,,,,,,,False,,True,4.00,,2025-10-01 10:01:21.617000
3108,101050008,500,36,A,4709,20701110,7,,True,True,,,,,,,,,,,,,,,False,,True,,,2023-12-05 11:12:16.822000
3108,101050008,5001,36,A,3416,10105113,1,,True,True,,,,,,,,,,,,,,,False,11.00,True,4.00,,2025-10-01 10:01:21.617000
3119,101050017,4176,OLD RR 1858,A,345,10105205,1,,False,True,,,,,,,,,,,,,,,False,,True,4.00,,2022-11-14 11:47:41.757000
3128,101050026,517,LEASE OF PLOT,A,381,10105150,1,,True,True,,,,,,,,,,,,,,,False,,True,4.00,,2025-10-01 10:01:21.617000
3128,101050026,517,LEASE OF PLOT,A,4729,20701121,7,,True,True,,,,,,,,,,,,,,,False,,True,,,2024-03-01 17:36:40.195000
3129,101050027,518,LEASE OF PLOT 7,A,382,10105147,1,,False,True,,,,,,,,,,,,,,,False,,True,4.00,,2022-11-14 11:47:41.757000
3129,101050027,518,LEASE OF PLOT 7,A,4731,20701121,7,,True,True,,,,,,,,,,,,,,,False,,True,,,2024-03-01 17:36:40.195000
3148,101050044,537,RR NO.2040,A,400,10105131,1,,True,True,,,,,,,,,,,,,,,False,,True,4.00,,2024-03-01 17:34:50.931000
3148,101050044,537,RR NO.2040,A,4744,20701126,7,,True,True,,,,,,,,,,,,,,,False,,True,,,2024-03-01 17:36:40.195000
8043,101050047,4550,9,A,3370,10105104,1,,False,True,,,,,,,,,,,,,,,False,,True,,,2022-11-14 11:47:41.757000
8044,101050048,4551,R R 1984,A,3371,10105117,1,,False,True,,,,,,,,,,,,,,,False,,True,4.00,,2022-11-14 11:47:41.757000
8046,101050050,4553,11 WEST OF A & C SITES,A,3373,10105127,1,,False,True,,,,,,,,,,,,,,,False,,True,,,2022-11-14 11:47:41.757000
8047,101050051,4554,10 WEST OF A&C SITES,A,3374,10105128,1,,False,True,,,,,,,,,,,,,,,False,,True,,,2022-11-14 11:47:41.757000
8048,101050052,4555,8,A,3375,10105130,1,,False,True,,,,,,,,,,,,,,,False,,True,4.00,,2022-11-14 11:47:41.757000
3198,102010033,585,"GWND OFFICE AT KALA CHOWKEY, SEWREE",A,457,10201136,2,,False,False,,,,,,,,,,,,,,,False,,True,4.00,,2022-11-15 17:04:38.791000
3198,102010033,585,"GWND OFFICE AT KALA CHOWKEY, SEWREE",A,4789,20701208,7,,True,True,,,,,,,,,,,,,,,False,,True,,,2024-03-01 17:36:40.195000
3198,102010033,4937,"GWND OFFICE AT KALA CHOWKEY, SEWREE",A,216,10201136,2,,False,False,,,,,,,,,,,,,,,False,,True,4.00,,2022-11-15 17:04:38.791000
3193,102020010,580,137 (PORTION OF RR-2060),A,452,10202217,2,,True,True,,,,,,,,,,,,,,,False,,False,4.00,,2025-10-01 10:04:00.476000
3193,102020010,580,137 (PORTION OF RR-2060),A,4785,20701204,7,,True,True,,,,,,,,,,,,,,,False,,True,,,2023-12-05 11:12:16.822000
3220,102020036,616,RR 2060 AT ARCHED BUNGLOW,A,493,10202219,2,,False,False,,,,,,,,,,,,,,,False,,False,,,2022-11-15 17:04:38.791000
3220,102020036,616,RR 2060 AT ARCHED BUNGLOW,A,4817,20701327,7,,True,True,,,,,,,,,,,,,,,False,,True,,,2024-03-01 17:36:40.195000
7993,102020039,4500,R R NO 2086,A,3349,10202102,2,,False,False,,,,,,,,,,,,,,,False,,False,4.00,,2022-11-15 17:04:38.791000
7994,102020040,4501,28,A,3350,10202104,2,,False,False,,,,,,,,,,,,,,,False,,False,4.00,,2022-11-15 17:04:38.791000
7996,102020042,4503,135,A,3352,10202114,2,,False,False,,,,,,,,,,,,,,,False,,False,4.00,,2022-11-15 17:04:38.791000
