"plot_id","plot_code","rr_no","street_no","main_structure_name","location","plot_area_sqm","let_out_id","let_out_name","tenancy_id","unit_id","agreement_start_date","agreement_end_date","long_lease_years","letout_area_sqm","consumed_fsi","proposed_use","lease_start_date","lease_end_date"
3099,"101040001",LEASE OF P.T.LAND,,,PIR PAU PIER,3609.09,493,LEASE OF P.T.LAND,"10104103",1,,,,3609.0900,0.0000,"Petrol & oil, diesel pumps, service station, weigh bridge & other purposes connected with motor trade","1985-01-01",""
3099,"101040001",LEASE OF P.T.LAND,,,PIR PAU PIER,3609.09,493,LEASE OF P.T.LAND,"20701103",7,,,,,,"Godowns, offices, works(factories) & residential quarters for employees, electric sub-station","1962-09-08",""
3099,"101040001",LEASE OF P.T.LAND,,,PIR PAU PIER,3609.09,5581,Test,,,,,,,,,,
8396,"101040001","Triangular Plot at PirPau (Near Old Pir Pau Berth)
",,,PIR PAU PIER,11904.33,6069,LEASE OF P.T.LAND,"10104106",1,,,,11904.3300,0.0000,"","2008-06-01",""
8189,"101040003",LEASE OF LAND, , , ,7150.23,4696,LEASE OF LAND,,,,,,,,,,
8189,"101040003",LEASE OF LAND, , , ,7150.23,5501,asmita land,"12345678",1,,,,,,,,
3101,"101050001","1",,PRIVATE STRUCTURE,SEWREE (EAST),2457.10,4174,"1",,,,,,,,,,
3102,"101050002","6",,PRIVATE STRUCTURE,SEWREE (EAST),1326.66,495,"6","10105109",1,,,,1326.6600,0.0000,"Petrol & oil, diesel pumps, service station, weigh bridge & other purposes connected with motor trade","1965-03-05",""
3102,"101050002","6",,PRIVATE STRUCTURE,SEWREE (EAST),1326.66,495,"6","10105109",1,,,,1326.6600,2.7100,"Petrol & oil, diesel pumps, service station, weigh bridge & other purposes connected with motor trade","1965-03-05",""
3102,"101050002","6",,PRIVATE STRUCTURE,SEWREE (EAST),1326.66,495,"6","20701104",7,,,,,,Any lawful user as may be permitted by MCGM in conformity with D.C.Regulations,"1997-04-01",""
3104,"101050004","9",,PRIVATE STRUCTURE,SEWREE (EAST),242.48,4175,"9",,,,,,,,,,
3107,"101050007","31",,PRIVATE STRUCTURE,SEWREE (EAST),1515.81,499,"31","10105203",1,,,,1515.8100,0.0000,"","1994-04-01",""
