"plot_id","estate_id","plot_code","rr_no","street_no","main_structure_name","mcgm_allotted_no","mcgm_ward_name","location","city_survey_no","city_survey_div","area","plot_desc","update_by","update_timestamp","status","verified_return_by","is_verified","is_active","remarks","approve_reject_on","approve_reject_by","verified_return_on","div_id","unit_id","row_update_by","mcgm_plot_no","existing_plot_no","no_of_splits","owner","owner_name","owner_contactno","dept_name","zone_id","zone_detail_id","admin_id","schedule_east","schedule_west","schedule_north","schedule_south","pincode","ward_id","customer_code","mbpt_road_connectivity","from_date","to_date","created_by_merge","created_by_split","prev_plot_id","result_statement","rr_noplot","reservation","plot_split_no","plot_action_forwardedto","plot_action_forward_rmk","plot_action_apr_rmk","plot_action_aprovedby","plot_action_type","is_vacant","rrzone2017"
4494,21,"310010112",MT PLOT 45,,,,B,ELPHINSTON (WEST),"9",PRINCESS DOCK,403.76,,Mahesh Mohite,2020-03-03 16:20:30.300,A,,true,false,,,,,58,10,,,,0,true,,,"4",,,97,,,,,400009,2,"31001329",false,,,false,false,4494,,,,,,,,,,false,
4495,21,"310010113",MT PLOT 72,,,,B,ELPHINSTON (WEST),FP No.68,PRINCESS DOCK,493.13,,Mahesh Mohite,2020-03-03 16:20:30.300,A,,true,false,,,,,58,10,,,,0,true,,,"4",,,97,,,,,400009,2,"31001326",false,,,false,false,4495,,,,,,,,,,false,
4496,21,"310010114",MT PLOT NO 148,,,,B,ELPHINSTON (WEST),"9",PRINCESS DOCK,307.69,,Mahesh Mohite,2020-03-03 16:20:30.300,A,,true,false,,,,,58,10,,,,0,true,,,"4",,,97,,,,,400009,2,"31001331",false,,,false,false,4496,,,,,,,,,,false,
4497,21,"310010115",MT PLOT NO 151,,,,B,ELPHINSTON (WEST),FP No.66,PRINCESS DOCK,344.30,,Mahesh Mohite,2020-03-03 16:20:30.300,A,,true,false,,,,,58,10,,,,0,true,,,"4",,,97,,,,,400009,2,"31001306",false,,,false,false,4497,,,,,,,,,,false,
4498,21,"310010116",MT PLOT NO 16,,,,B,ELPHINSTON (WEST),"9",PRINCESS DOCK,311.04,,Mahesh Mohite,2020-03-03 16:20:30.300,A,,true,false,,,,,58,10,,,,0,true,,,"4",,,97,,,,,400009,2,"31001332",false,,,false,false,4498,,,,,,,,,,false,
4499,21,"310010117",MT PLOT NO 201,,,,B,ELPHINSTON (WEST),FP No.67,PRINCESS DOCK,260.69,,Mahesh Mohite,2020-03-03 16:20:30.300,A,,true,false,,,,,58,10,,,,0,true,,,"4",,,97,,,,,400009,2,"31001312",false,,,false,false,4499,,,,,,,,,,false,
4500,21,"310010118",MT PLOT NO 202,,,,B,ELPHINSTON (WEST),FP No.66,PRINCESS DOCK,89.00,,Mahesh Mohite,2020-03-03 16:20:30.300,A,,true,false,,,,,58,10,,,,0,true,,,"4",,,97,,,,,400009,2,"31001302",false,,,false,false,4500,,,,,,,,,,false,
4932,60,"414130014","20",,,,G/N,MAHIM BUNDER, , ,193.70,,Mahesh Mohite,2020-03-03 16:20:30.300,A,,true,false,,,,,59,14,,,,0,true,,,"4",,,97,,,,,400001,8,"41413111",false,,,false,false,4932,,,,,,,,,,false,
4546,24,"311020032",OLD R.R. 19 & 1094,,,,A,MODY BAY,"1208",FORT,355.44,,Mahesh Mohite,2020-03-03 16:20:30.300,A,,true,false,,,,,58,11,,,,0,true,,,"4",,,97,,,,,400001,1,"31102324",false,,,false,false,4546,,,,,,,,,,false,
4568,21,"310010135",OLD RR 1214,,,,B,ELPHINSTON (WEST),FP No.64,PRINCESS DOCK,776.48,,Mahesh Mohite,2020-03-03 16:20:30.300,A,,true,false,,,,,58,10,,,,0,true,,,"4",,,97,,,,,400009,2,"31001238",false,,,false,false,4568,,,,,,,,,,false,
